id,text,timestamp,user,location,source,language,query,true_sentiment,politician,party,is_sarcastic,cleaned_text,tokens,token_count,char_count
1,its oscar nomination ,2024-11-13,unknown_user,,SST-2,en,sst2,positive,Unknown,Unknown,False,oscar nomination,"['oscar', 'nomination']",2,16
2,@user oohh may i know you something? are you a muslim or orientalist? you seem to hate islam,2024-11-07,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,oohh may know something muslim orientalist seem hate islam,"['oohh', 'may', 'know', 'something', 'muslim', 'orientalist', 'seem', 'hate', 'islam']",9,58
3,Oh great\u002c weather warning for Tayside and I\u2019m going to Dundee tomorrow.  Hope I don\u2019t get stranded up there #help,2024-12-04,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,oh greatu002c weather warning tayside iu2019m going dundee tomorrow hope donu2019t get stranded,"['oh', 'greatu002c', 'weather', 'warning', 'tayside', 'iu2019m', 'going', 'dundee', 'tomorrow', 'hope', 'donu2019t', 'get', 'stranded']",13,95
4,"as teen movies go , "" orange county "" is a refreshing change",2024-10-15,unknown_user,,Rotten Tomatoes,en,rotten_tomatoes,positive,Unknown,Unknown,False,teen movie go orange county refreshing change,"['teen', 'movie', 'go', 'orange', 'county', 'refreshing', 'change']",7,45
5,it almost feels as if the movie is more interested in entertaining itself than in amusing us .,2025-02-05,unknown_user,,Rotten Tomatoes,en,rotten_tomatoes,negative,Unknown,Unknown,False,almost feel movie interested entertaining amusing u,"['almost', 'feel', 'movie', 'interested', 'entertaining', 'amusing', 'u']",7,51
6,See Win% on 1st Serve for Serena : Get more than the #usopen tennis score with #IBMSports.,2024-05-17,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,see win 1st serve serena get tennis score,"['see', 'win', '1st', 'serve', 'serena', 'get', 'tennis', 'score']",8,41
7,Islam in Bangladesh is like the multiple colors of a mirror under the sun  There is love in these images. A...,2024-10-27,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,islam bangladesh like multiple color mirror sun love image,"['islam', 'bangladesh', 'like', 'multiple', 'color', 'mirror', 'sun', 'love', 'image']",9,58
8,"I'm sure deep in the recesses of Jack Blacks mind the character of Nacho Libre is absolutely hilarious but no it isn't. You can tell ol Jacks having a whale of a time hammin it up playing a smarmy, slimy Mexican friar with dreams of becoming a wrestler but this movie is a total m",2024-08-26,unknown_user,,IMDB,en,imdb,negative,Unknown,Unknown,False,im sure deep recess jack black mind character nacho libre absolutely hilarious but no isnt tell ol jack whale time hammin playing smarmy slimy mexican friar dream becoming wrestler but movie total,"['im', 'sure', 'deep', 'recess', 'jack', 'black', 'mind', 'character', 'nacho', 'libre', 'absolutely', 'hilarious', 'but', 'no', 'isnt', 'tell', 'ol', 'jack', 'whale', 'time', 'hammin', 'playing', 'smarmy', 'slimy', 'mexican', 'friar', 'dream', 'becoming', 'wrestler', 'but', 'movie', 'total']",32,196
9,in its lack of poetic frissons ,2024-05-26,unknown_user,,SST-2,en,sst2,negative,Unknown,Unknown,False,lack poetic frisson,"['lack', 'poetic', 'frisson']",3,19
10,"add yet another hat to a talented head , clooney 's a good director . ",2024-02-24,unknown_user,,SST-2,en,sst2,positive,Unknown,Unknown,False,add yet another hat talented head clooney good director,"['add', 'yet', 'another', 'hat', 'talented', 'head', 'clooney', 'good', 'director']",9,55
11,is its utter sincerity . ,2025-02-03,unknown_user,,SST-2,en,sst2,positive,Unknown,Unknown,False,utter sincerity,"['utter', 'sincerity']",2,15
12,"The 8th video about Planned Parenthood has come out.  In light of this, it's important to remember that for...",2025-04-14,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,8th video planned parenthood come light important remember,"['8th', 'video', 'planned', 'parenthood', 'come', 'light', 'important', 'remember']",8,58
13,Rick Perry has stopped paying staff &amp; rumors of Rand Paul implosion are everywhere. Are these the 1st 2 out?,2024-03-16,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,rick perry stopped paying staff amp rumor rand paul implosion everywhere 1st,"['rick', 'perry', 'stopped', 'paying', 'staff', 'amp', 'rumor', 'rand', 'paul', 'implosion', 'everywhere', '1st']",12,76
14,"Pope Francis USA tshirts on sale for $10 to Mr. Hylka-room 219 by Thursday 3pm. These will be worn 9/23, the day the pope arrives in the US.",2024-04-05,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,pope francis usa tshirts sale 10 mr hylkaroom 219 thursday 3pm worn 923 day pope arrives u,"['pope', 'francis', 'usa', 'tshirts', 'sale', '10', 'mr', 'hylkaroom', '219', 'thursday', '3pm', 'worn', '923', 'day', 'pope', 'arrives', 'u']",17,90
15,More about nothing X Wale Friday Night Lights X J.Cole The Movie X Gucci  The Lonny Breaux Collection X Frank Ocean   Is mixtapes you need,2024-11-04,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,nothing wale friday night light jcole movie gucci lonny breaux collection frank ocean mixtapes need,"['nothing', 'wale', 'friday', 'night', 'light', 'jcole', 'movie', 'gucci', 'lonny', 'breaux', 'collection', 'frank', 'ocean', 'mixtapes', 'need']",15,99
16,"sc2 is an autopilot hollywood concoction lacking in imagination and authentic christmas spirit , yet it's geared toward an audience full of masters of both .",2025-05-02,unknown_user,,Rotten Tomatoes,en,rotten_tomatoes,negative,Unknown,Unknown,False,sc2 autopilot hollywood concoction lacking imagination authentic christmas spirit yet geared toward audience full master,"['sc2', 'autopilot', 'hollywood', 'concoction', 'lacking', 'imagination', 'authentic', 'christmas', 'spirit', 'yet', 'geared', 'toward', 'audience', 'full', 'master']",15,120
17,"If he looked any shade of brown skin he would have been. These ""Deplorables"" are really starting to come out ofthe…",2025-02-17,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,negative,Unknown,Unknown,False,looked shade brown skin would deplorables really starting come ofthe…,"['looked', 'shade', 'brown', 'skin', 'would', 'deplorables', 'really', 'starting', 'come', 'ofthe…']",10,69
18,#UNDP The DPRK is not here. Such traitorous actions cannot be tolerated. Praise to Kim Jong-un. #SydMUN16,2024-07-21,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,negative,Unknown,Unknown,False,dprk not traitorous action not tolerated praise kim jongun,"['dprk', 'not', 'traitorous', 'action', 'not', 'tolerated', 'praise', 'kim', 'jongun']",9,58
19,1st movie of the night: The Vow,2024-10-09,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,1st movie night vow,"['1st', 'movie', 'night', 'vow']",4,19
20,Imagine going home before Sunday and missing Snoop Dogg hahahaha,2024-02-15,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,imagine going home sunday missing snoop dogg hahahaha,"['imagine', 'going', 'home', 'sunday', 'missing', 'snoop', 'dogg', 'hahahaha']",8,53
21,@user DAVID BLAINE DOES MAGIC AT KANYE WEST. Kanye doesn't really have a *great* time.,2024-06-05,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,david blaine magic kanye west kanye doesnt really great time,"['david', 'blaine', 'magic', 'kanye', 'west', 'kanye', 'doesnt', 'really', 'great', 'time']",10,60
22,"Like Tarzan the Ape Man (1932), only more so. There's more of everything, more animals, more varied African tribes, and scenes in which the thought must be, if this was good with three or four lions, forty would be better. Tarzan wrestles with crocodilesthe the crocodile machine",2024-10-07,unknown_user,,IMDB,en,imdb,positive,Unknown,Unknown,False,like tarzan ape man 1932 there everything animal varied african tribe scene thought must good three four lion forty would better tarzan wrestle crocodilesthe crocodile machine,"['like', 'tarzan', 'ape', 'man', '1932', 'there', 'everything', 'animal', 'varied', 'african', 'tribe', 'scene', 'thought', 'must', 'good', 'three', 'four', 'lion', 'forty', 'would', 'better', 'tarzan', 'wrestle', 'crocodiles\x97the', 'crocodile', 'machine']",26,176
23,@user reminds me day I was walked btw IBM bldgs in S.Fla Sun for health; hot; I past 2 guys digging a 4x8' cable trench 10' deep,2025-05-13,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,reminds day walked btw ibm bldgs sfla sun health hot past guy digging 4x8 cable trench 10 deep,"['reminds', 'day', 'walked', 'btw', 'ibm', 'bldgs', 'sfla', 'sun', 'health', 'hot', 'past', 'guy', 'digging', '4x8', 'cable', 'trench', '10', 'deep']",18,94
24,"thanks to haynes' absolute control of the film's mood , and buoyed by three terrific performances , far from heaven actually pulls off this stylistic juggling act .",2024-01-16,unknown_user,,Rotten Tomatoes,en,rotten_tomatoes,positive,Unknown,Unknown,False,thanks haynes absolute control film mood buoyed three terrific performance far heaven actually pull stylistic juggling act,"['thanks', 'haynes', 'absolute', 'control', 'film', 'mood', 'buoyed', 'three', 'terrific', 'performance', 'far', 'heaven', 'actually', 'pull', 'stylistic', 'juggling', 'act']",17,122
