id,text,timestamp,user,location,politician,party,source,true_sentiment
1,Trump press held 4 conference today addressing teh ongoing budget negotiations. #GlobalPolitics,2024-06-19,user_349,Maharashtra,Trump,INC (Congress),Synthetic,neutral
2,"Finally, a leader like Harris who understands the needs of the youth. #BuildBackBetter",2024-11-01,user_102,Berlin,Harris,Conservatives,Synthetic,positive
3,a leader like Obama who underztandz the needs of the youth. #Democracy,2024-06-14,user_116,Texas,Obama,Labour,Synthetic,positive
4,BJP's new budget plan is exactly what the middle class needs. Great work! #BreakingNews,2024-02-25,user_562,Sydney,Harris,BJP,Synthetic,positive
5,Conservatives committee to review healthcare spending over hte next quarter. #VoterRights,2024-02-25,user_602,Sydney,Amit Shah,Conservatives,Synthetic,neutral
6,Sunak signs order; legal challenges anticipated from TMC. #PoliticsDaily,2024-06-15,user_490,Berlin,Sunak,TMC,Synthetic,neutral
7,Mamata Banerjee met with world leaders at the G20 summit in #VoterRights,2025-01-04,user_986,Florida,Mamata Banerjee,LibDems,Synthetic,neutral
8,"statement Under DeSantis's leadership, crime rates in Gujarat have dropped significantly. #BreakingNews",2024-05-10,user_483,Gujarat,DeSantis,AAP,Synthetic,positive
9,Harris's policies are destroying small businesses across Berlin. Unacceptable! #Resign,2024-06-17,user_786,Berlin,Harris,TMC,Synthetic,negative
10,Trump united the divided nation with his remarkable speech yesterday. #BidenHarris2024,2024-12-02,user_593,Maharashtra,Trump,AAP,Synthetic,positive
11,"Finally, a leader like who DeSantis understands the needs of the youth. #PoliticsDaily",2024-11-10,user_791,Maharashtra,DeSantis,Republicans,Synthetic,positive
12,official Healthcare is a mess and LibDems has done nothing meaningful to fix #Corrupt it.,2024-03-13,user_858,Sydney,Yogi Adityanath,LibDems,Synthetic,negative
13,today The new Democrats policy is a breath of fresh air for the industry. #BuildBackBetter,2024-10-17,user_710,Berlin,Yogi Adityanath,Democrats,Synthetic,positive
14,The policies of Trump have genuinely improved lives in Texas. Keep it up! #BidenHarris2024,2024-05-19,user_320,Texas,Trump,Democrats,Synthetic,positive
15,news Analysts are divided on Macron's recent economic proposals. #GlobalPolitics,2024-04-14,user_408,Berlin,Macron,LibDems,Synthetic,neutral
16,news DeSantis is the worst thing to to Florida in decades. Step down NOW. #Election2024,2024-06-30,user_173,Florida,DeSantis,Labour,Synthetic,negative
17,Rahul Gandhi delivered an outstanding speech on economic recovery today. Real leadership! #IndiaNews,2024-08-01,user_396,Delhi,Rahul Gandhi,Democrats,Synthetic,positive
18,Corruption in AAP is at an all-time high. Where is teh accountability? #Scam,2024-02-24,user_349,Sydney,Trump,AAP,Synthetic,negative
19,official Survey shows mixed public opinion on AAP's latest immigration policy. #IndiaNews,2024-09-18,user_298,Berlin,Rahul Gandhi,AAP,Synthetic,neutral
20,INC (Congress)'s new budget is exactly plan what the middle class needs. Great work! #IndiaFirst,2025-01-30,user_743,Maharashtra,Macron,INC (Congress),Synthetic,positive
21,statement Arvind Kejriwal addressed parliament on the state of national security. #USPolitics,2024-05-20,user_705,Gujarat,Arvind Kejriwal,TMC,Synthetic,neutral
22,INC (Congrezz) announced cabinet ahead of the parliamentary session. #PolicyDebate,2024-08-24,user_694,Berlin,Biden,INC (Congress),Synthetic,neutral
23,"policy Another day, another failure from the Democrats administration in Gujarat. #Exposed",2024-06-24,user_831,Gujarat,Amit Shah,Democrats,Synthetic,negative
24,So proud of what LibDems has accomplished this term. Unemployment is down! #IndiaFirst,2024-05-24,user_496,Texas,Trump,LibDems,Synthetic,positive
25,update The new INC (Congress) bill has some good points but also many flaws. A mixed bag for Sydney.,2024-11-04,user_994,Sydney,Rahul Gandhi,INC (Congress),Synthetic,neutral
26,"Another day, another failure from the INC (Congress) administration in Berlin. #Liar",2024-12-28,user_186,Berlin,Harris,INC (Congress),Synthetic,negative
27,The education reforms by LibDems are transforming schools across the nation. #Progress,2024-11-26,user_786,Delhi,Obama,LibDems,Synthetic,positive
28,Rahul Gandhi delivered an outstanding speech on economic recovery today. Real leadership! #PoliticsDaily,2024-03-11,user_258,Maharashtra,Rahul Gandhi,LibDems,Synthetic,positive
29,Experts weigh in on BJP's five-year development plan. #VoterRights,2024-11-01,user_485,Berlin,Trump,BJP,Synthetic,neutral
30,statement New poll data shows shifting preferences in Texas region. #NewsUpdate,2025-01-20,user_866,Texas,Harris,Labour,Synthetic,neutral
31,Experts weigh in on TMC's five-year development plan. #BreakingNews,2024-10-19,user_551,California,Macron,TMC,Synthetic,neutral
32,today Experts weigh in BJP's five-year development plan. #VoterRights,2024-09-03,user_995,Delhi,Arvind Kejriwal,BJP,Synthetic,neutral
33,government The latest LibDems is scandal just hte tip of the iceberg. #NeverAgain,2024-06-27,user_127,Berlin,Modi,LibDems,Synthetic,negative
34,"While Rahul Gandhi success, the situation in Delhi remains complicated. #USPolitics",2024-03-11,user_139,Delhi,Rahul Gandhi,Democrats,Synthetic,neutral
35,Extremely disappointed with Obama'z lack of action on climate change. #IndiaNews,2025-01-07,user_723,Texas,Obama,TMC,Synthetic,negative
36,Amit Shah is teh worst thing to happen to Berlin in decades. Step NOW. #EndThis,2024-09-12,user_711,Berlin,Amit Shah,AAP,Synthetic,negative
37,Democrats committee to review healthcare spending over teh next quarter. #NewsUpdate,2024-07-03,user_169,California,Amit Shah,Democrats,Synthetic,neutral
38,government Survey shows mixed public opinion on LibDems's immigration latest policy. #PolicyDebate,2024-11-17,user_206,Sydney,Amit Shah,LibDems,Synthetic,neutral
39,Macron held a press conference today addressing the ongoing budget negotiations. #USPolitics,2024-12-22,user_590,Texas,Macron,INC (Congress),Synthetic,neutral
40,statement Yogi Adityanath's policies destroying small are businesses across Texas. Unacceptable! #IndiaNews,2024-10-05,user_584,Texas,Yogi Adityanath,Labour,Synthetic,negative
41,Democrats announced cabinet reshuffle ahead the parliamentary session. #USPolitics,2024-07-23,user_861,California,Obama,Democrats,Synthetic,neutral
42,policy The policies of Arvind Kejriwal have genuinely improved lives in Maharashtra. Keep it up! #USPolitics,2024-02-10,user_540,Maharashtra,Arvind Kejriwal,AAP,Synthetic,positive
43,The education reforms by Labour transforming are schools across the nation. #UnitedWeStand,2024-01-22,user_844,Florida,Mamata Banerjee,Labour,Synthetic,positive
44,INC (Congress) consistently delivers on its governance promises. Strong iz visible. #BidenHarris2024,2024-03-05,user_168,Delhi,Trudeau,INC (Congress),Synthetic,positive
