id,text,timestamp,user,location,source,language,query,true_sentiment,politician,party,is_sarcastic,cleaned_text,tokens,token_count,char_count,ml_label,ml_confidence,ml_probs,split,dl_label,dl_confidence,dl_probs,final_sentiment,final_confidence,is_different_from_ml,extracted_entities
1,its oscar nomination ,2024-11-13,unknown_user,,SST-2,en,sst2,positive,Unknown,Unknown,0,oscar nomination,"['oscar', 'nomination']",2,16,positive,0.4046,"{np.str_('negative'): 0.2554, np.str_('neutral'): 0.34, np.str_('positive'): 0.4046}",labeled,neutral,0.7831,"{'neutral': 0.7831, 'positive': 0.1418, 'negative': 0.0751}",neutral,0.6059,1,[]
2,@user oohh may i know you something? are you a muslim or orientalist? you seem to hate islam,2024-11-07,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,0,oohh may know something muslim orientalist seem hate islam,"['oohh', 'may', 'know', 'something', 'muslim', 'orientalist', 'seem', 'hate', 'islam']",9,58,neutral,0.4382,"{np.str_('negative'): 0.2333, np.str_('neutral'): 0.4382, np.str_('positive'): 0.3284}",labeled,negative,0.74,"{'negative': 0.74, 'neutral': 0.2499, 'positive': 0.0102}",negative,0.5373,1,['@user']
3,Oh great\u002c weather warning for Tayside and I\u2019m going to Dundee tomorrow.  Hope I don\u2019t get stranded up there #help,2024-12-04,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,0,oh greatu002c weather warning tayside iu2019m going dundee tomorrow hope donu2019t get stranded,"['oh', 'greatu002c', 'weather', 'warning', 'tayside', 'iu2019m', 'going', 'dundee', 'tomorrow', 'hope', 'donu2019t', 'get', 'stranded']",13,95,positive,0.5253,"{np.str_('negative'): 0.2487, np.str_('neutral'): 0.226, np.str_('positive'): 0.5253}",labeled,positive,0.8485,"{'positive': 0.8485, 'neutral': 0.1292, 'negative': 0.0223}",positive,0.7192,0,"['Tayside', 'Dundee']"
4,"as teen movies go , "" orange county "" is a refreshing change",2024-10-15,unknown_user,,Rotten Tomatoes,en,rotten_tomatoes,positive,Unknown,Unknown,0,teen movie go orange county refreshing change,"['teen', 'movie', 'go', 'orange', 'county', 'refreshing', 'change']",7,45,negative,0.4265,"{np.str_('negative'): 0.4265, np.str_('neutral'): 0.2208, np.str_('positive'): 0.3526}",labeled,neutral,0.6432,"{'neutral': 0.6432, 'positive': 0.3454, 'negative': 0.0114}",neutral,0.4742,1,[]
5,it almost feels as if the movie is more interested in entertaining itself than in amusing us .,2025-02-05,unknown_user,,Rotten Tomatoes,en,rotten_tomatoes,negative,Unknown,Unknown,0,almost feel movie interested entertaining amusing u,"['almost', 'feel', 'movie', 'interested', 'entertaining', 'amusing', 'u']",7,51,negative,0.4939,"{np.str_('negative'): 0.4939, np.str_('neutral'): 0.1688, np.str_('positive'): 0.3373}",labeled,positive,0.7854,"{'positive': 0.7854, 'neutral': 0.2071, 'negative': 0.0076}",positive,0.6062,1,[]
6,See Win% on 1st Serve for Serena : Get more than the #usopen tennis score with #IBMSports.,2024-05-17,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,0,see win 1st serve serena get tennis score,"['see', 'win', '1st', 'serve', 'serena', 'get', 'tennis', 'score']",8,41,neutral,0.5033,"{np.str_('negative'): 0.1317, np.str_('neutral'): 0.5033, np.str_('positive'): 0.3651}",labeled,neutral,0.5111,"{'neutral': 0.5111, 'positive': 0.4806, 'negative': 0.0084}",neutral,0.508,0,[]
7,Islam in Bangladesh is like the multiple colors of a mirror under the sun  There is love in these images. A...,2024-10-27,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,0,islam bangladesh like multiple color mirror sun love image,"['islam', 'bangladesh', 'like', 'multiple', 'color', 'mirror', 'sun', 'love', 'image']",9,58,positive,0.4287,"{np.str_('negative'): 0.1858, np.str_('neutral'): 0.3855, np.str_('positive'): 0.4287}",labeled,neutral,0.5124,"{'neutral': 0.5124, 'positive': 0.4714, 'negative': 0.0162}",neutral,0.4616,1,"['Bangladesh', 'Islam']"
8,"I'm sure deep in the recesses of Jack Blacks mind the character of Nacho Libre is absolutely hilarious but no it isn't. You can tell ol Jacks having a whale of a time hammin it up playing a smarmy, slimy Mexican friar with dreams of becoming a wrestler but this movie is a total m",2024-08-26,unknown_user,,IMDB,en,imdb,negative,Unknown,Unknown,0,im sure deep recess jack black mind character nacho libre absolutely hilarious but no isnt tell ol jack whale time hammin playing smarmy slimy mexican friar dream becoming wrestler but movie total,"['im', 'sure', 'deep', 'recess', 'jack', 'black', 'mind', 'character', 'nacho', 'libre', 'absolutely', 'hilarious', 'but', 'no', 'isnt', 'tell', 'ol', 'jack', 'whale', 'time', 'hammin', 'playing', 'smarmy', 'slimy', 'mexican', 'friar', 'dream', 'becoming', 'wrestler', 'but', 'movie', 'total']",32,196,positive,0.4384,"{np.str_('negative'): 0.3457, np.str_('neutral'): 0.2158, np.str_('positive'): 0.4384}",labeled,positive,0.4949,"{'positive': 0.4949, 'neutral': 0.4275, 'negative': 0.0776}",positive,0.4723,0,"['Jacks', 'Jack Blacks', 'Nacho Libre']"
9,in its lack of poetic frissons ,2024-05-26,unknown_user,,SST-2,en,sst2,negative,Unknown,Unknown,0,lack poetic frisson,"['lack', 'poetic', 'frisson']",3,19,positive,0.4046,"{np.str_('negative'): 0.2554, np.str_('neutral'): 0.34, np.str_('positive'): 0.4046}",labeled,negative,0.5833,"{'negative': 0.5833, 'neutral': 0.3775, 'positive': 0.0392}",negative,0.4521,1,[]
10,"add yet another hat to a talented head , clooney 's a good director . ",2024-02-24,unknown_user,,SST-2,en,sst2,positive,Unknown,Unknown,0,add yet another hat talented head clooney good director,"['add', 'yet', 'another', 'hat', 'talented', 'head', 'clooney', 'good', 'director']",9,55,positive,0.4611,"{np.str_('negative'): 0.2669, np.str_('neutral'): 0.2721, np.str_('positive'): 0.4611}",labeled,positive,0.6307,"{'positive': 0.6307, 'neutral': 0.2687, 'negative': 0.1007}",positive,0.5629,0,['clooney']
11,is its utter sincerity . ,2025-02-03,unknown_user,,SST-2,en,sst2,positive,Unknown,Unknown,0,utter sincerity,"['utter', 'sincerity']",2,15,positive,0.4046,"{np.str_('negative'): 0.2554, np.str_('neutral'): 0.34, np.str_('positive'): 0.4046}",labeled,neutral,0.4192,"{'neutral': 0.4192, 'positive': 0.3547, 'negative': 0.2261}",neutral,0.3875,1,[]
12,"The 8th video about Planned Parenthood has come out.  In light of this, it's important to remember that for...",2025-04-14,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,0,8th video planned parenthood come light important remember,"['8th', 'video', 'planned', 'parenthood', 'come', 'light', 'important', 'remember']",8,58,neutral,0.3803,"{np.str_('negative'): 0.2916, np.str_('neutral'): 0.3803, np.str_('positive'): 0.3281}",labeled,neutral,0.6161,"{'neutral': 0.6161, 'positive': 0.3725, 'negative': 0.0114}",neutral,0.5218,0,['Planned Parenthood']
13,Rick Perry has stopped paying staff &amp; rumors of Rand Paul implosion are everywhere. Are these the 1st 2 out?,2024-03-16,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,0,rick perry stopped paying staff amp rumor rand paul implosion everywhere 1st,"['rick', 'perry', 'stopped', 'paying', 'staff', 'amp', 'rumor', 'rand', 'paul', 'implosion', 'everywhere', '1st']",12,76,positive,0.4514,"{np.str_('negative'): 0.208, np.str_('neutral'): 0.3406, np.str_('positive'): 0.4514}",labeled,neutral,0.5642,"{'neutral': 0.5642, 'negative': 0.4223, 'positive': 0.0135}",neutral,0.4748,1,"['Rick Perry', 'Rand Paul']"
14,"Pope Francis USA tshirts on sale for $10 to Mr. Hylka-room 219 by Thursday 3pm. These will be worn 9/23, the day the pope arrives in the US.",2024-04-05,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,0,pope francis usa tshirts sale 10 mr hylkaroom 219 thursday 3pm worn 923 day pope arrives u,"['pope', 'francis', 'usa', 'tshirts', 'sale', '10', 'mr', 'hylkaroom', '219', 'thursday', '3pm', 'worn', '923', 'day', 'pope', 'arrives', 'u']",17,90,neutral,0.424,"{np.str_('negative'): 0.1637, np.str_('neutral'): 0.424, np.str_('positive'): 0.4123}",labeled,neutral,0.8459,"{'neutral': 0.8459, 'positive': 0.1429, 'negative': 0.0111}",neutral,0.6771,0,"['US', 'Francis USA', 'Hylka']"
15,More about nothing X Wale Friday Night Lights X J.Cole The Movie X Gucci  The Lonny Breaux Collection X Frank Ocean   Is mixtapes you need,2024-11-04,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,0,nothing wale friday night light jcole movie gucci lonny breaux collection frank ocean mixtapes need,"['nothing', 'wale', 'friday', 'night', 'light', 'jcole', 'movie', 'gucci', 'lonny', 'breaux', 'collection', 'frank', 'ocean', 'mixtapes', 'need']",15,99,positive,0.5259,"{np.str_('negative'): 0.1124, np.str_('neutral'): 0.3617, np.str_('positive'): 0.5259}",labeled,neutral,0.7766,"{'neutral': 0.7766, 'negative': 0.115, 'positive': 0.1084}",neutral,0.6106,1,['The Lonny Breaux Collection X Frank Ocean']
16,"sc2 is an autopilot hollywood concoction lacking in imagination and authentic christmas spirit , yet it's geared toward an audience full of masters of both .",2025-05-02,unknown_user,,Rotten Tomatoes,en,rotten_tomatoes,negative,Unknown,Unknown,0,sc2 autopilot hollywood concoction lacking imagination authentic christmas spirit yet geared toward audience full master,"['sc2', 'autopilot', 'hollywood', 'concoction', 'lacking', 'imagination', 'authentic', 'christmas', 'spirit', 'yet', 'geared', 'toward', 'audience', 'full', 'master']",15,120,negative,0.4225,"{np.str_('negative'): 0.4225, np.str_('neutral'): 0.2057, np.str_('positive'): 0.3718}",labeled,negative,0.7605,"{'negative': 0.7605, 'neutral': 0.2209, 'positive': 0.0186}",negative,0.6253,0,[]
17,"If he looked any shade of brown skin he would have been. These ""Deplorables"" are really starting to come out ofthe…",2025-02-17,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,negative,Unknown,Unknown,1,looked shade brown skin would deplorables really starting come ofthe…,"['looked', 'shade', 'brown', 'skin', 'would', 'deplorables', 'really', 'starting', 'come', 'ofthe…']",10,69,positive,0.4184,"{np.str_('negative'): 0.2742, np.str_('neutral'): 0.3075, np.str_('positive'): 0.4184}",labeled,negative,0.7219,"{'negative': 0.7219, 'neutral': 0.2675, 'positive': 0.0105}",negative,0.5428,1,[]
18,#UNDP The DPRK is not here. Such traitorous actions cannot be tolerated. Praise to Kim Jong-un. #SydMUN16,2024-07-21,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,negative,Unknown,Unknown,0,dprk not traitorous action not tolerated praise kim jongun,"['dprk', 'not', 'traitorous', 'action', 'not', 'tolerated', 'praise', 'kim', 'jongun']",9,58,neutral,0.4136,"{np.str_('negative'): 0.3814, np.str_('neutral'): 0.4136, np.str_('positive'): 0.2049}",labeled,negative,0.8382,"{'negative': 0.8382, 'neutral': 0.1508, 'positive': 0.0109}",negative,0.6555,1,"['DPRK', 'Kim Jong-un', 'SydMUN16']"
19,1st movie of the night: The Vow,2024-10-09,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,0,1st movie night vow,"['1st', 'movie', 'night', 'vow']",4,19,positive,0.5128,"{np.str_('negative'): 0.1587, np.str_('neutral'): 0.3285, np.str_('positive'): 0.5128}",labeled,neutral,0.7337,"{'neutral': 0.7337, 'positive': 0.2452, 'negative': 0.0211}",neutral,0.5716,1,[]
